Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0001701	in utero embryonic development	 	5.704E-6	5.722E-2	3.346E-4	3.276E-3	111	514	NCOA3,USP9X,ACTL6A,ACVR1B,ADAR,EOMES,EXOC3L2,CUL4A,CUL3,ZFAT,CAMSAP3,APBA1,APBA2,EPB41L5,COPS3,PPP4R4,ARHGDIG,CCNB1IP1,CCNK,BMP5,ALKBH1,BNIP2,PYGO2,BRCA2,EIF2S2,BYSL,RUNX1,CCNB1,CCNB2,CDH1,CDX2,CHEK1,KPNA7,HECTD1,HAND2,CIR1,SYF2,MTSS1,NSDHL,MFN2,DMBT1,DNAJB6,USPL1,CCDC24,LEF1,ERCC2,ESRRB,NPM2,N4BP2L2,ZBTB18,RTCB,GINS4,SPINT2,FUT8,GABPA,PRPF19,GNA12,GRIN2B,RBM46,POLG2,HHEX,NLRP5,IGF2,INPP5B,ITGA4,JAG2,LIG4,LLGL2,RESP18,LRP1B,MSH2,MYB,MYH10,MYO1E,NASP,NOP2,NPAT,PDZK1,E2F7,POLB,POU5F1,MAP2K1,NCAPG2,PTPRR,TCTN1,RAD51B,RBBP8,TBL1XR1,E2F8,GRHL2,CHD7,STIL,SLC8A1,ASF1B,CNOT1,PNLDC1,RPGRIP1L,OOEP,TDGF1,NXN,TFAP2C,ICMT,HEY2,UBE2A,AMOT,XRCC2,PLPP4,ZP3,XAB2,SALL4,CUBN
GO: Biological Process	GO:0030031	cell projection assembly	 	6.228E-6	6.248E-2	3.632E-4	3.556E-3	149	734	MKKS,TENM2,KIF17,STK24,NCK2,OFD1,SHTN1,LRRC46,SSNA1,RAP2C,RAB11A,BBS4,BNIP1,ARHGEF7,KLF5,RAB29,CASP3,CASP7,AIFM1,DAW1,NEURL1,CDK1,DNAAF1,CDH13,SNAP29,SLC9A3R1,NRXN1,TBC1D22A,MYO3B,NTN1,POC1A,FAM98A,CEP57,KIAA0586,MTSS1,DNAL1,DCTN1,DNAH8,DNM1L,WDPCP,ABCC4,TBC1D7,CCNO,CEP78,ATP6V1D,VAV3,DCDC2,DYNC2LI1,MTOR,RAB3IP,SSX2IP,HSPB11,ABLIM2,GAP43,TTC39C,DISC1,SDCCAG8,WASF3,DRC1,SAXO1,SGSM3,CECR2,RFFL,TBC1D8,CEP89,HMGB2,KIF24,HAUS8,HSP90AA1,CFAP74,ITGA6,CFAP221,KIT,CCDC39,MAK,CCDC113,MYH10,XKR9,MYO10,TMEM80,NEFH,CCDC13,NEK1,ODF2,PCM1,CCDC63,PARVB,LRGUK,ANLN,SNX10,PKHD1,PLK1,PLS1,PRKCQ,NDE1,BCAS3,CEP120,ULK4,EPS8L3,SPAG16,TCTN1,RAP1GAP,RAP2A,IFT57,DYNC2H1,DNAAF4,HAUS2,BBS10,NUP85,MNS1,TBC1D2,BBOF1,HAUS7,RNF34,DZIP1,STIL,KIFAP3,CCDC88A,GALNT11,CIDEC,PARVA,CEP152,CFAP44,CLUAP1,CENPJ,GOLPH3,NEDD1,PARVG,BIN3,RCC2,KANK1,CYFIP1,TBC1D1,HYLS1,COBL,CFAP206,RPGRIP1L,TEKT5,DNAH7,LPAR3,TRPM2,LRRC6,IQUB,EZR,XKR6,YWHAE,PCDH15,FZD3,IFT88
GO: Biological Process	GO:0051177	meiotic sister chromatid cohesion	 	6.343E-6	6.363E-2	3.651E-4	3.575E-3	8	10	BUB1,BUB1B,SYCP3,STAG3,HORMAD2,SGO2,RAD51C,MEIKIN
GO: Biological Process	GO:0045144	meiotic sister chromatid segregation	 	6.343E-6	6.363E-2	3.651E-4	3.575E-3	8	10	BUB1,BUB1B,SYCP3,STAG3,HORMAD2,SGO2,RAD51C,MEIKIN
GO: Biological Process	GO:0044782	cilium organization	 	6.369E-6	6.389E-2	3.651E-4	3.575E-3	96	431	MKKS,KIF17,TSGA10IP,OFD1,LRRC46,SSNA1,RAB11A,BBS4,RAB29,DAW1,NEURL1,CDK1,DNAAF1,SNAP29,TBC1D22A,POC1A,CEP57,KIAA0586,DNAL1,DCTN1,KIF19,DNAH8,WDPCP,ABCC4,TBC1D7,CCNO,CEP78,ATP6V1D,DCDC2,DYNC2LI1,RAB3IP,SSX2IP,HSPB11,TTC39C,DISC1,SDCCAG8,DRC1,SAXO1,SGSM3,TBC1D8,CEP89,KIF24,HAUS8,HSP90AA1,CFAP74,CFAP221,CCDC39,MAK,CCDC113,TMEM80,CCDC13,NEK1,ODF2,PCM1,CCDC63,LRGUK,SNX10,PKHD1,PLK1,NDE1,CEP120,ULK4,SPAG16,TCTN1,IFT57,DYNC2H1,DNAAF4,HAUS2,BBS10,MNS1,TBC1D2,BBOF1,HAUS7,DZIP1,STIL,KIFAP3,CCDC88A,GALNT11,PARVA,CEP152,CFAP44,CLUAP1,CENPJ,NEDD1,TBC1D1,HYLS1,CFAP206,RPGRIP1L,TEKT5,DNAH7,LRRC6,IQUB,YWHAE,ZIC2,PCDH15,IFT88
GO: Biological Process	GO:0034470	ncRNA processing	 	8.073E-6	8.099E-2	4.602E-4	4.505E-3	88	389	AARS1,ADAR,TRMT5,ERI1,RIOK3,ALKBH1,BYSL,BTRC,USP14,INTS7,THUMPD3,NGDN,CSTF2,RSL1D1,DDX1,DDX10,DKC1,TSEN15,TRPT1,RIOK1,EXOSC3,EXOSC1,TRNT1,UTP11,MRTO4,MPHOSPH6,WDR75,POP5,RPF2,NSUN4,NOP56,RTCB,TRMT6,PELP1,FRG1,RTRAF,CDK5RAP1,RPUSD2,POLR3K,TRMT10B,RPP40,CPSF4,IMP4,POP1,KRR1,GRSF1,RPUSD4,LSM6,UTP4,EXOSC8,GTF2H5,ISG20,CTU2,LIN28B,NOB1,SNU13,NOP2,YBEY,FAM98B,ERI3,TRMT13,METTL16,PUS7,EXOSC9,DDX56,PIH1D2,TEX10,NOL8,HEATR1,ELP3,NAT10,ELP2,RPF1,CHD7,LYAR,INTS8,NSUN5,EXOSC7,RRS1,ELP5,MRPS11,MRPS9,MRPL1,MRPL44,RNF113A,EXOSC5,INTS12,NSUN6
GO: Biological Process	GO:0051310	metaphase plate congression	 	8.171E-6	8.197E-2	4.631E-4	4.534E-3	23	62	KIF18A,MAD1L1,CUL3,RAB11A,BRCA2,CCNB1,CENPE,CENPF,BOD1,NUF2,KIF14,TRAPPC12,NDC80,SPAG5,KIF2C,SPDL1,PINX1,CDCA8,CEP55,CENPQ,CDCA5,RRS1,FAM83D
GO: Biological Process	GO:0042073	intraciliary transport	 	8.361E-6	8.388E-2	4.712E-4	4.614E-3	93	417	MKKS,KIF17,OFD1,LRRC46,SSNA1,RAB11A,BBS4,RAB29,DAW1,NEURL1,CDK1,DNAAF1,SNAP29,TBC1D22A,POC1A,CEP57,KIAA0586,DNAL1,DCTN1,DNAH8,WDPCP,ABCC4,TBC1D7,CCNO,CEP78,ATP6V1D,DCDC2,DYNC2LI1,RAB3IP,SSX2IP,HSPB11,TTC39C,DISC1,SDCCAG8,DRC1,SAXO1,SGSM3,TBC1D8,CEP89,KIF24,HAUS8,HSP90AA1,CFAP74,CFAP221,CCDC39,MAK,CCDC113,TMEM80,CCDC13,NEK1,ODF2,PCM1,CCDC63,LRGUK,SNX10,PKHD1,PLK1,NDE1,CEP120,ULK4,SPAG16,TCTN1,IFT57,DYNC2H1,DNAAF4,HAUS2,BBS10,MNS1,TBC1D2,BBOF1,HAUS7,DZIP1,STIL,KIFAP3,CCDC88A,GALNT11,PARVA,CEP152,CFAP44,CLUAP1,CENPJ,NEDD1,TBC1D1,HYLS1,CFAP206,RPGRIP1L,TEKT5,DNAH7,LRRC6,IQUB,YWHAE,PCDH15,IFT88
GO: Biological Process	GO:0006336	DNA replication-independent nucleosome assembly	 	8.523E-6	8.550E-2	4.764E-4	4.665E-3	21	54	CENPP,CENPA,ASF1A,CENPL,CENPW,OIP5,NASP,MIS18A,CENPM,CENPO,RBBP4,RBBP7,CENPU,CENPQ,HJURP,CENPT,ASF1B,CENPN,CENPK,CENPH,KNL1
GO: Biological Process	GO:0000724	double-strand break repair via homologous recombination	 	8.548E-6	8.576E-2	4.764E-4	4.665E-3	39	134	CDC45,PARP1,RAD54L,MEIOB,BRCA1,BRCA2,TIMELESS,CHEK1,RAD50,GINS4,SIRT6,RAD51AP1,GINS2,MCM8,RAD21L1,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,GEN1,SFR1,AUNIP,PPP4C,PARPBP,RAD51,RAD51C,RAD51B,RBBP8,RIF1,RPA2,RMI1,ZNF365,KDM4D,TEX15,NABP1,XRCC2,MMS22L
GO: Biological Process	GO:0072331	signal transduction by p53 class mediator	 	8.671E-6	8.699E-2	4.806E-4	4.705E-3	67	276	HIPK4,CNOT6L,TP63,CRADD,BARD1,BRCA1,BRCA2,CCNB1,USP10,CDK1,CDC25C,CDK5,AURKB,CHEK1,RRM2B,ANKRD2,DYRK1A,E2F1,RAD50,TAF3,SH3GLB1,BRIP1,RPF2,FHIT,MYBBP1A,TRIAP1,GTSE1,EHMT2,RFFL,ZNF385B,TP53INP1,MDM2,MRE11,MSH2,BRD7,NOP2,PCNA,E2F7,CDIP1,RAD9B,RAD1,PAK1IP1,RBBP4,RBBP7,RBBP8,RFC3,RFC4,RFC5,E2F8,RPA2,ATAD5,RMI1,CNOT11,RNF34,SNW1,TPX2,CNOT1,PERP,AURKA,RRS1,TAF4B,TAF5,TAF9,TBP,PPP1R13B,UBB,SMYD2
GO: Biological Process	GO:0040001	establishment of mitotic spindle localization	 	8.807E-6	8.835E-2	4.828E-4	4.727E-3	16	35	CENPA,ESPL1,DCTN1,NUSAP1,EYA1,NDC80,INSC,MAD2L1,GPSM2,PLK1,NDE1,SPDL1,MCPH1,NSFL1C,DYNLT1,ACTL8
GO: Biological Process	GO:1901976	regulation of cell cycle checkpoint	 	8.807E-6	8.835E-2	4.828E-4	4.727E-3	16	35	CUL4A,CCNB1,ANAPC15,CRY1,THOC1,DYNC1LI1,NDC80,LCMT1,RINT1,MAD2L1,GEN1,NEK1,ETAA1,RPA2,WDR76,AURKA
GO: Biological Process	GO:0006304	DNA modification	 	9.210E-6	9.240E-2	5.022E-4	4.917E-3	41	144	USP9X,PARP1,FKBP6,KDM1B,ALKBH1,BRCA1,UHRF2,CTCFL,DNMT1,DNMT3A,DNMT3B,PARP2,EXOSC3,ASCC2,PPHLN1,MORC1,EHMT2,TDRKH,MAEL,HELLS,MGMT,UHRF1,PLD6,MIS18A,MOV10L1,PRMT7,DDX4,POU5F1,ALKBH5,ASZ1,PIWIL2,GRHL2,ALKBH2,TDRD1,UNG,DPPA3,TDRD9,EXOSC5,USP7,CDADC1,TDRD5
GO: Biological Process	GO:0043009	chordate embryonic development	 	9.865E-6	9.897E-2	5.350E-4	5.238E-3	160	805	NCOA3,USP9X,ACTL6A,ACVR1B,ADAR,DSCAML1,EOMES,FZD6,EXOC3L2,CUL4A,CUL3,ZFAT,CAMSAP3,APBA1,APBA2,EPB41L5,TRIM71,COPS3,LMO4,PPP4R4,ARHGDIG,CCNB1IP1,GRHL3,BBS4,CCNK,BMP5,ALKBH1,ALDH1A2,BNIP2,PYGO2,BRCA1,BRCA2,EIF2S2,BYSL,CASP3,RUNX1,CCNB1,CCNB2,CDH1,CDX2,CHEK1,KPNA7,HECTD1,HAND2,CIR1,SYF2,KIF20B,CELSR1,MTSS1,NSDHL,MFN2,DLG1,DLX1,DMBT1,DNAJB6,USPL1,CCDC24,LEF1,ERCC2,ESRRB,EYA1,NPM2,N4BP2L2,FGF9,ZBTB18,DEAF1,RTCB,GINS4,SPINT2,DMRT2,FUT8,SIX2,GABPA,NUP50,GBX2,PRPF19,GNA12,CECR2,GRIN2B,GLMN,RBM46,POLG2,HHEX,HOXA7,HOXB6,HOXB7,HOXC9,NLRP5,IGF2,NKD1,INPP5B,ISL1,ITGA4,JAG2,LIG4,LLGL2,LRP2,RESP18,LRP1B,MSH2,MYB,MYH10,MYO1E,NASP,NKX3-1,NOP2,NPAT,PRICKLE1,OTX2,PCSK5,PDZK1,E2F7,POLB,POU5F1,MAP2K1,PSEN1,NCAPG2,PTPRR,TCTN1,RAD51B,IFT57,RBBP8,CENPU,TBL1XR1,E2F8,GRHL2,AMBRA1,CHD7,STIL,SLC8A1,ASF1B,ENAH,NUP133,MESP2,CNOT1,CLUAP1,PNLDC1,MESP1,XYLT1,COBL,SATB2,RPGRIP1L,TCOF1,OOEP,TDGF1,NXN,TFAP2C,GPR161,ICMT,HEY2,UBE2A,AMOT,XRCC2,ZIC2,PLPP4,ZP3,XAB2,FZD3,SALL4,CUBN
GO: Biological Process	GO:0000725	recombinational repair	 	1.037E-5	1.040E-1	5.592E-4	5.475E-3	39	135	CDC45,PARP1,RAD54L,MEIOB,BRCA1,BRCA2,TIMELESS,CHEK1,RAD50,GINS4,SIRT6,RAD51AP1,GINS2,MCM8,RAD21L1,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,GEN1,SFR1,AUNIP,PPP4C,PARPBP,RAD51,RAD51C,RAD51B,RBBP8,RIF1,RPA2,RMI1,ZNF365,KDM4D,TEX15,NABP1,XRCC2,MMS22L
GO: Biological Process	GO:0010948	negative regulation of cell cycle process	 	1.054E-5	1.057E-1	5.652E-4	5.534E-3	87	386	MAD1L1,CUL1,TICRR,BIRC5,CNOT6L,CRADD,CCNK,BRCA1,NAE1,BUB1,BUB1B,CCNB1,CCNF,SMC3,CDK1,CDC20,CDC25C,AURKB,CDKN2B,PTTG1,CENPE,CENPF,CHEK1,TRIP13,ANAPC15,SYF2,ESPL1,PSMD6,FBXO5,DMRT1,RBX1,L3MBTL2,TOM1L1,E2F1,DYNC1LI1,PCGF6,NDC80,ABRAXAS1,LCMT1,TRIAP1,GTSE1,DTL,ZNF268,EHMT2,ZFYVE19,RINT1,KIF25,MAD2L1,MDM2,MOS,MRE11,BRD7,GEN1,ORC1,PCNA,E2F7,PLK1,DAB2IP,PSMA5,PSMA6,PSMA7,PSMB2,PSMB7,PSMD11,PTEN,SPDL1,RAD1,PINX1,RAD51,RBBP4,RBBP7,RBBP8,E2F8,RPA2,RRM2,CNOT11,SKP1,CLSPN,CNOT1,MYO16,WAPL,AURKA,KHDC3L,RYBP,TTK,FBXO43,MDM1
GO: Biological Process	GO:0031122	cytoplasmic microtubule organization	 	1.161E-5	1.165E-1	6.197E-4	6.068E-3	22	59	SLAIN2,CAMSAP3,RAB11A,KIF19,DLG1,KATNAL1,TRDN,HOOK1,TACC3,CAMSAP1,TUBGCP4,KATNA1,CHP1,CCDC13,PCM1,CEP120,CCDC88C,CCDC88A,CENPJ,SPAST,EZR,IFT88
GO: Biological Process	GO:0022406	membrane docking	 	1.184E-5	1.187E-1	6.282E-4	6.151E-3	49	185	OFD1,PPFIA3,GRAMD2A,SSNA1,VAMP8,RAB11A,CDK1,RAB3C,SNAP29,NRXN1,STX8,CEP57,DCTN1,ESYT3,STX6,CEP78,VTI1B,RAB3IP,SDCCAG8,RAB10,CEP89,CHP1,KIF24,HAUS8,HSP90AA1,NSF,ODF2,PCM1,PLK1,EXOC6,NDE1,RAB3B,TCTN1,HAUS2,UNC13C,HAUS7,ATG14,CEP152,RIMS1,CENPJ,NEDD1,STX5,STXBP3,SCFD1,RPGRIP1L,EZR,YWHAE,RAB15,NDRG4
GO: Biological Process	GO:0034724	DNA replication-independent nucleosome organization	 	1.192E-5	1.196E-1	6.296E-4	6.164E-3	21	55	CENPP,CENPA,ASF1A,CENPL,CENPW,OIP5,NASP,MIS18A,CENPM,CENPO,RBBP4,RBBP7,CENPU,CENPQ,HJURP,CENPT,ASF1B,CENPN,CENPK,CENPH,KNL1
GO: Biological Process	GO:0043632	modification-dependent macromolecule catabolic process	 	1.215E-5	1.219E-1	6.380E-4	6.247E-3	134	655	USP9X,USP35,CUL4A,CUL3,CUL1,TRIM71,COPS3,PIAS1,BUB1B,BTRC,RNF8,CCNB1,CCNF,USP14,USP2,USP10,CDK1,CDC20,AURKB,PTTG1,TRIP12,LONP1,PLAA,ARMC8,TRIM58,ANAPC15,RNF14,UBXN11,FAM122A,USP34,TRPC4AP,FBXL3,FBXL5,PSMD6,FBXO22,FBXO10,FBXO5,KIF14,USP3,RBX1,TOM1L1,EXOSC3,KCTD10,TRIM13,CRBN,BFAR,FHIT,ANAPC7,ATG7,DTL,VPS25,ERLIN1,NUB1,GIPC1,DISC1,GNA12,LNX1,TLK2,ADRM1,RFFL,NHLRC3,GLMN,USP45,EXOSC8,COMMD1,DNAJB2,NKD2,FBXO27,UBE2J2,SVIP,MAD2L1,CACUL1,MDM2,MTM1,UHRF1,PRICKLE1,SIAH3,PNPT1,PCYOX1L,KCTD5,PLK1,ANAPC4,EXOSC9,MAPK8,RNF111,PSEN1,PSMA5,PSMA6,PSMA7,PSMB2,PSMB7,PSMD11,PTEN,RNF128,RAD23B,VPS37C,TBL1XR1,UBE2W,SEL1L,VPS37A,RNF34,SKP1,SKP2,CHFR,SUMO2,EXOSC7,PBK,AURKA,NSFL1C,TAF9,RYBP,FBXL16,RNF20,KCTD2,TSG101,UBB,UBE2A,UBE2D3,UBE2E1,UBE2G1,UBE2H,UBE2L3,UCHL1,UCHL3,USP1,SMURF2,RMND5A,TRIM39,USP7,UBE3B,UBXN8,CUL5,UBE3D,RNF146
GO: Biological Process	GO:0140056	organelle localization by membrane tethering	 	1.401E-5	1.406E-1	7.321E-4	7.167E-3	47	176	OFD1,PPFIA3,GRAMD2A,SSNA1,VAMP8,RAB11A,CDK1,RAB3C,SNAP29,NRXN1,STX8,CEP57,DCTN1,ESYT3,STX6,CEP78,VTI1B,RAB3IP,SDCCAG8,RAB10,CEP89,KIF24,HAUS8,HSP90AA1,NSF,ODF2,PCM1,PLK1,EXOC6,NDE1,RAB3B,TCTN1,HAUS2,UNC13C,HAUS7,ATG14,CEP152,RIMS1,CENPJ,NEDD1,STX5,STXBP3,SCFD1,RPGRIP1L,YWHAE,RAB15,NDRG4
GO: Biological Process	GO:0009792	embryo development ending in birth or egg hatching	 	1.420E-5	1.424E-1	7.379E-4	7.224E-3	163	828	NCOA3,USP9X,ACTL6A,ACVR1B,ADAR,DSCAML1,EOMES,FZD6,EXOC3L2,CUL4A,CUL3,ZFAT,CAMSAP3,APBA1,APBA2,EPB41L5,TRIM71,COPS3,LMO4,PPP4R4,ARHGDIG,CCNB1IP1,GRHL3,BBS4,SCEL,CCNK,BMP5,ALKBH1,ALDH1A2,BNIP2,PYGO2,BRCA1,BRCA2,EIF2S2,BYSL,CASP3,RUNX1,CCNB1,CCNB2,CDH1,CDX2,CHEK1,KPNA7,HECTD1,HAND2,CIR1,SYF2,KIF20B,CELSR1,MTSS1,NSDHL,MFN2,DLG1,DLX1,DMBT1,DNAJB6,USPL1,CCDC24,LEF1,ERCC2,ESRRB,EYA1,NPM2,N4BP2L2,FGF9,ZBTB18,DEAF1,RTCB,GINS4,SPINT2,DMRT2,FUT8,SIX2,GABPA,NUP50,GBX2,PRPF19,GNA12,CECR2,GRIN2B,GLMN,RBM46,POLG2,HHEX,HOXA7,HOXB6,HOXB7,HOXC9,NLRP5,IGF2,NKD1,INPP5B,ISL1,ITGA4,JAG2,LIG4,LLGL2,LRP2,RESP18,LRP1B,MSH2,MYB,MYH10,MYO1E,NASP,NKX3-1,NOP2,NPAT,PRICKLE1,OTX2,PCSK5,PDZK1,E2F7,POLB,POU5F1,MAP2K1,PSEN1,NCAPG2,PTPRR,TCTN1,RAD51B,IFT57,RBBP8,CENPU,AKIRIN2,TBL1XR1,E2F8,TLE6,GRHL2,AMBRA1,CHD7,STIL,SLC8A1,ASF1B,ENAH,NUP133,MESP2,CNOT1,CLUAP1,PNLDC1,MESP1,XYLT1,COBL,SATB2,RPGRIP1L,TCOF1,OOEP,TDGF1,NXN,TFAP2C,GPR161,ICMT,HEY2,UBE2A,AMOT,XRCC2,ZIC2,PLPP4,ZP3,XAB2,FZD3,SALL4,CUBN
GO: Biological Process	GO:0071824	protein-DNA complex subunit organization	 	1.457E-5	1.461E-1	7.533E-4	7.376E-3	83	367	NCOA3,CDC45,CENPP,PARP1,CUL4A,PIAS1,BRDT,MCM3AP,RNF8,CCNH,AURKB,CDK7,CENPA,CENPE,CENPF,PIWIL1,GTF3C3,ASF1A,SYCP3,CENPL,DKC1,RBX1,CHAF1A,GMNN,RAD50,TRAPPC12,ERCC2,CENPW,TBPL2,CCT2,CCT8,PTGES3,GTF2E1,GTF2F2,HELLS,OIP5,HMGB2,GTF2H5,HSP90AA1,DCP2,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,NAP1L1,NAP1L4,NASP,MIS18A,CENPM,TAF7L,CENPO,PRKCQ,PINX1,RAD23B,RAD51,RBBP4,RBBP7,CENPU,CENPQ,NAT10,RPA2,HJURP,CENPT,CCT5,ASF1B,SMARCA2,CENPN,CENPK,TBP,VPS72,TCP1,POLR1E,ACTR6,HEY2,PADI4,ORC3,UBB,SMYD3,CENPH,ACD,KNL1
GO: Biological Process	GO:0034622	cellular protein-containing complex assembly	 	1.466E-5	1.470E-1	7.540E-4	7.382E-3	237	1277	MKKS,NCOA3,ADAR,ADD2,ADD3,CDC45,CENPP,PARP1,AP2B1,ALOX15,NCK2,CUL4A,SLAIN2,TICRR,GEMIN2,CAMSAP3,GAS7,PIAS1,CNOT6L,PSMG1,EIF3C,VAMP8,PATL2,BBS4,SYNJ1,EIF2S2,WASF1,LDLRAD4,CCNH,PRPF3,AIFM1,DAW1,CD36,MYOM2,DNAAF1,AURKB,CDK7,CENPA,CENPE,CENPF,CHRNA3,GTF3C3,SNAP29,LONP1,CLTA,LSM4,ASF1A,GDA,NUP93,CTNNA2,ATPAF2,COX20,CENPL,MTSS1,DNAL1,DCTN1,DDX1,FBXO5,SNAP91,G3BP2,DIAPH2,DKC1,DLG1,DMD,DNAH8,RBX1,CHAF1A,MTERF3,DYRK1A,DNM1L,COX17,GMNN,RAD50,NDUFAF1,TRAPPC12,MRTO4,ERCC2,CENPW,SF3A1,THEG,NUFIP1,SPTBN5,RPF2,CAMSAP1,TBPL2,NSUN4,SLC25A33,SLU7,CCT2,NSG2,MTOR,CCT8,STYXL1,PTGES3,INPP5J,WASF3,DRC1,TUBGCP4,COPS8,SF3A3,PRPF19,MPV17L2,ADRM1,NUDT21,GRB7,GTF2F2,HCCS,HELLS,ATXN2L,NRG1,OIP5,HMGB2,GTF2H5,HSPA4,HSP90AA1,NLRP5,CELF5,DCP2,ARHGAP18,ANKS4B,CCDC39,MCM2,MCM3,MCM4,MCM5,MCM7,SRSF12,PSMG4,MRE11,NDUFAF4,MX1,NAP1L1,NAP1L4,NASP,NCBP1,NDUFA7,NDUFA8,NDUFA10,NDUFAB1,NDUFB5,NDUFV3,DRG1,NEFL,SNU13,NOP2,MIS18A,CCDC63,TMOD2,CENPM,ANLN,TAF7L,PRMT7,POLR2D,CENPO,PRKCQ,MAPK8,NDE1,PIH1D2,PSMD11,DNAJC28,GEMIN8,TMEM70,PINX1,RAD23B,RAD51,MRPL20,RAP1GDS1,RBBP4,RBBP7,DNAAF4,CENPU,BBS10,CENPQ,NAT10,OGFOD1,ARHGAP28,UNC13C,GEMIN6,RPA2,BRIX1,HJURP,CLIP1,FMN1,EDC3,CENPT,FHOD3,CCT5,ASF1B,COA1,SMARCA2,RIMS1,SNRPD1,SNRPD3,CNOT1,TGS1,CENPJ,CENPN,SPTB,SRP54,SRPK1,CENPK,FCHO1,KANK1,CYFIP1,BAIAP2L1,RRS1,VAMP7,COBL,TAF9,TBCA,TBP,VMA21,TCP1,OOEP,DNAH7,LMOD3,POLR1E,HEY2,PADI4,ORC3,LRRC6,UBB,COPS7B,SMYD3,ATPAF1,CENPH,MRPS11,ACD,TMEM199,SPIRE1,XAB2,SDHAF3,DIAPH3,KNL1,ACTR3B,SLC39A12,COIL
GO: Biological Process	GO:0065004	protein-DNA complex assembly	 	1.781E-5	1.787E-1	9.118E-4	8.927E-3	75	325	NCOA3,CDC45,CENPP,PARP1,CUL4A,PIAS1,CCNH,AURKB,CDK7,CENPA,CENPE,CENPF,GTF3C3,ASF1A,CENPL,DKC1,RBX1,CHAF1A,GMNN,RAD50,TRAPPC12,ERCC2,CENPW,TBPL2,CCT2,CCT8,PTGES3,GTF2F2,HELLS,OIP5,HMGB2,GTF2H5,HSP90AA1,DCP2,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,NAP1L1,NAP1L4,NASP,MIS18A,CENPM,TAF7L,CENPO,PRKCQ,PINX1,RAD23B,RAD51,RBBP4,RBBP7,CENPU,CENPQ,NAT10,RPA2,HJURP,CENPT,CCT5,ASF1B,SMARCA2,CENPN,CENPK,TBP,TCP1,POLR1E,HEY2,PADI4,ORC3,UBB,SMYD3,CENPH,ACD,KNL1
GO: Biological Process	GO:0032392	DNA geometric change	 	1.891E-5	1.897E-1	9.616E-4	9.415E-3	35	119	CDC45,PARP1,RAD54L,CUL4A,DDX1,RBX1,RAD50,ERCC2,BRIP1,GINS4,GINS2,MCM8,GTF2F2,HMGB2,HMGB3,GTF2H5,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,DSCC1,ERCC6L,RAD23B,RAD51,RFC3,RFC4,RFC5,CHD7,CHTF18,RAD54L2,UBB,RAD18,NAV2
